REPORT_ID,Stats Area,Suburb,Postcode,LGA Name,Total Units,Total Cas,Total Fats,Total SI,Total MI,Year,Month,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Other Feat,Road Surface,Moisture Cond,Weather Cond,DayNight,Crash Type,Unit Resp,Entity Code,CSEF Severity,Traffic Ctrls,DUI Involved,Drugs Involved,ACCLOC_X,ACCLOC_Y,UNIQUE_LOC
2019-38-27/05/2021,2 Metropolitan,MOUNT GEORGE,5155,THE ADELAIDE HILLS COUNCIL,2,0,0,0,0,2019,January,Wednesday,4:30 AM,80,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Hit Animal,2,Animal,1: PDO,No Control,,,1345035.79,1663841.38,1.35E+13
2019-39-27/05/2021,3 Country,TAILEM BEND,5260,COORONG DISTRICT COUNCIL,2,4,0,1,3,2019,January,Wednesday,2:10 PM,110,T-Junction,Straight road,Level,Driveway or Entrance,Sealed,Dry,Not Raining,Daylight,Right Angle,2,Driver Rider,3: SI,Give Way Sign,,,1408874.75,1625620.07,1.41E+13
2019-40-27/05/2021,2 Metropolitan,BRIGHTON,5048,CITY OF HOLDFAST BAY,2,1,0,0,1,2019,January,Wednesday,5:00 PM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,2: MI,No Control,,,1321135.2,1660948.3,1.32E+13
2019-41-27/05/2021,2 Metropolitan,BEVERLEY,5009,CITY OF CHARLES STURT,2,0,0,0,0,2019,January,Wednesday,7:30 PM,50,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,No Control,,,1323793.23,1673779.05,1.32E+13
2019-42-27/05/2021,1 City,ADELAIDE,5000,CITY OF ADELAIDE,2,0,0,0,0,2019,January,Wednesday,8:10 PM,50,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Pedestrian,2,Pedestrian,1: PDO,Traffic Signals,,,1328412.93,1670350.89,1.33E+13
2019-43-27/05/2021,3 Country,COOMANDOOK,5261,COORONG DISTRICT COUNCIL,2,2,1,0,1,2019,January,Wednesday,4:38 PM,110,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Head On,1,Driver Rider,4: Fatal,No Control,,,1428754.73,1604377.7,1.43E+13
2019-44-27/05/2021,2 Metropolitan,MUNNO PARA,5115,CITY OF PLAYFORD.,2,0,0,0,0,2019,January,Wednesday,11:55 PM,50,Divided Road,"CURVED, VIEW OPEN",Level,Not Applicable,Sealed,Dry,Not Raining,Night,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1337249.95,1698380.24,1.34E+13
2019-45-27/05/2021,2 Metropolitan,KURRALTA PARK,5037,CITY OF WEST TORRENS,2,1,0,0,1,2019,January,Thursday,8:17 AM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Turn,1,Driver Rider,2: MI,Traffic Signals,,,1325778.61,1667717.09,1.33E+13
2019-46-27/05/2021,2 Metropolitan,HENLEY BEACH,5022,CITY OF CHARLES STURT,2,0,0,0,0,2019,January,Wednesday,4:30 PM,50,T-Junction,"CURVED, VIEW OBSCURED",Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,2,Driver Rider,1: PDO,No Control,,,1318696.87,1672298.86,1.32E+13
2019-47-27/05/2021,2 Metropolitan,KLEMZIG,5087,CITY OF PORT ADELAIDE ENFIELD,2,0,0,0,0,2019,January,Wednesday,9:05 PM,60,Cross Road,"CURVED, VIEW OPEN",Slope,Not Applicable,Sealed,Dry,Not Raining,Night,Side Swipe,2,Driver Rider,1: PDO,Traffic Signals,,,1332072.8,1676595.28,1.33E+13
2019-48-27/05/2021,3 Country,STRATHALBYN,5255,ALEXANDRINA COUNCIL,2,1,0,0,1,2019,January,Wednesday,3:00 PM,80,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,2: MI,No Control,,,1353034.84,1633914.57,1.35E+13
2019-49-27/05/2021,3 Country,LOCHIEL,5510,WAKEFIELD REGIONAL COUNCIL,2,4,0,1,3,2019,January,Thursday,11:00 AM,110,Not Divided,Straight road,Level,Driveway or Entrance,Sealed,Dry,Not Raining,Daylight,Right Turn,1,Driver Rider,3: SI,No Control,,,1291899.55,1783821.1,1.29E+13
2019-50-27/05/2021,2 Metropolitan,SEAFORD RISE,5169,CITY OF ONKAPARINGA,2,0,0,0,0,2019,January,Thursday,2:13 PM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Turn,2,Driver Rider,1: PDO,Traffic Signals,,,1317537.2,1641650.26,1.32E+13
2019-51-27/05/2021,2 Metropolitan,WINGFIELD,5013,CITY OF PORT ADELAIDE ENFIELD,2,0,0,0,0,2019,January,Thursday,12:45 PM,50,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,Give Way Sign,,,1325115.68,1679699.32,1.33E+13
2019-52-27/05/2021,2 Metropolitan,ASHFORD,5035,CITY OF UNLEY,2,0,0,0,0,2019,January,Thursday,2:45 PM,60,Divided Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,1: PDO,No Control,,,1325975.4,1667841.9,1.33E+13
2019-53-27/05/2021,2 Metropolitan,KILBURN,5084,CITY OF PORT ADELAIDE ENFIELD,3,1,0,0,1,2019,January,Thursday,5:26 PM,60,Divided Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,2: MI,No Control,,,1327213.05,1677551.33,1.33E+13
2019-54-27/05/2021,2 Metropolitan,SALISBURY EAST,5109,CITY OF SALISBURY,3,0,0,0,0,2019,January,Thursday,5:30 PM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,1: PDO,Traffic Signals,,,1333277.7,1685371.45,1.33E+13
2019-55-27/05/2021,2 Metropolitan,REDWOOD PARK,5097,CITY OF TEA TREE GULLY,2,1,0,0,1,2019,January,Thursday,5:25 PM,60,T-Junction,"CURVED, VIEW OPEN",Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,2: MI,No Control,,,1338215.76,1682500.2,1.34E+13
2019-56-27/05/2021,2 Metropolitan,KESWICK,5035,CITY OF WEST TORRENS,2,1,0,0,1,2019,January,Thursday,5:50 PM,50,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Parked Vehicle,1,Driver Rider,2: MI,No Control,,,1326346.26,1668612.49,1.33E+13
2019-57-27/05/2021,2 Metropolitan,FULHAM GARDENS,5024,CITY OF CHARLES STURT,3,2,0,0,2,2019,January,Thursday,5:25 PM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Turn,2,Driver Rider,2: MI,Traffic Signals,,,1320660.26,1672376.02,1.32E+13
2019-58-27/05/2021,2 Metropolitan,BLAIR ATHOL,5084,CITY OF PORT ADELAIDE ENFIELD,2,0,0,0,0,2019,January,Thursday,5:20 PM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,1: PDO,No Control,,,1328805.81,1678802.93,1.33E+13
2019-59-27/05/2021,2 Metropolitan,SALISBURY PLAIN,5109,CITY OF SALISBURY,2,0,0,0,0,2019,January,Thursday,6:25 PM,50,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,No Control,,,1334184.59,1688395.78,1.33E+13
2019-60-27/05/2021,2 Metropolitan,HENLEY BEACH SOUTH,5022,CITY OF CHARLES STURT,2,0,0,0,0,2019,January,Thursday,6:45 PM,50,Divided Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,No Control,,,1319321.42,1671004,1.32E+13
2019-61-27/05/2021,2 Metropolitan,MARLESTON,5033,CITY OF WEST TORRENS,2,1,0,0,1,2019,January,Thursday,6:50 PM,60,T-Junction,Unknown,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,2: MI,No Control,,,1325303.91,1668932.25,1.33E+13
2019-62-27/05/2021,2 Metropolitan,COROMANDEL VALLEY,5051,CC MITCHAM.                   ,2,0,0,0,0,2019,January,Thursday,10:00 PM,60,Not Divided,"CURVED, VIEW OPEN",Level,Not Applicable,Sealed,Dry,Not Raining,Night,Head On,2,Driver Rider,1: PDO,No Control,Y,,1330339.77,1658664.65,1.33E+13
2019-63-27/05/2021,1 City,ADELAIDE,5000,CITY OF ADELAIDE,2,0,0,0,0,2019,January,Friday,12:10 AM,50,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Night,Right Angle,1,Driver Rider,1: PDO,Traffic Signals,,,1329020.62,1670844.8,1.33E+13
2019-64-27/05/2021,2 Metropolitan,LOCKLEYS,5032,CITY OF WEST TORRENS,3,1,0,0,1,2019,January,Friday,8:46 AM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,2,Driver Rider,2: MI,No Control,,,1322293.44,1670808.3,1.32E+13
2019-65-27/05/2021,2 Metropolitan,STURT,5047,CC MARION.                    ,3,0,0,0,0,2019,January,Thursday,4:45 PM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,1: PDO,Traffic Signals,,,1324437.93,1659985.8,1.32E+13
2019-66-27/05/2021,3 Country,WILLIAMSTOWN,5351,THE BAROSSA COUNCIL.,2,0,0,0,0,2019,January,Thursday,4:45 PM,100,Not Divided,Straight road,Slope,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,No Control,,,1352081.77,1697692.45,1.35E+13
